
File: raw/L1B_Catalogue/2017-11/11/H18/2017-11.11.H18.kmz
-46.177868 46.364326 0
-46.200905 46.416405 0
-46.223991 46.468479 0
-46.247120 46.520557 0
-46.270302 46.572632 0
-46.293526 46.624702 0
-46.316799 46.676773 0
-46.340122 46.728840 0
-46.363491 46.780907 0
-46.386906 46.832970 0
-46.410374 46.885036 0
-46.433887 46.937099 0
-46.457451 46.989159 0
-46.481064 47.041214 0
-46.504723 47.093269 0
-46.528431 47.145321 0
-46.552189 47.197369 0
-46.575993 47.249420 0
-46.599850 47.301464 0
-46.623753 47.353512 0
-46.647709 47.405556 0
-46.671711 47.457600 0
-46.695766 47.509644 0
-46.719868 47.561680 0
-46.744022 47.613720 0
-46.768223 47.665756 0
-46.792477 47.717789 0
-46.816784 47.769817 0
-46.841137 47.821846 0
-46.865547 47.873875 0
-46.890007 47.925900 0
-46.914516 47.977924 0

File: raw/L1B_Catalogue/2018-07/23/H18/2018-07.23.H18.kmz
-46.849106 47.995243 0
-46.870098 47.940823 0
-46.891056 47.886398 0
-46.911980 47.831970 0
-46.932865 47.777538 0
-46.953720 47.723103 0
-46.974545 47.668659 0
-46.995331 47.614212 0
-47.016083 47.559765 0
-47.036804 47.505310 0
-47.057487 47.450855 0
-47.078140 47.396397 0
-47.098759 47.341934 0
-47.119343 47.287468 0
-47.139896 47.232998 0
-47.160412 47.178520 0
-47.180901 47.124043 0
-47.201351 47.069557 0
-47.221771 47.015072 0
-47.242161 46.960583 0
-47.262512 46.906090 0
-47.282833 46.851593 0
-47.303123 46.797092 0
-47.323380 46.742588 0
-47.343605 46.688080 0
-47.363800 46.633568 0
-47.383961 46.579048 0
-47.404091 46.524525 0
-47.424191 46.470001 0
-47.444256 46.415470 0
-47.464294 46.360939 0
-47.484299 46.306404 0
-47.504272 46.251862 0
-47.524212 46.197319 0
-47.544125 46.142776 0
-47.564007 46.088226 0
-47.583858 46.033672 0

File: raw/L1B_Catalogue/2018-07/17/H18/2018-07.17.H18.kmz
-46.017506 46.561314 0
-46.035454 46.506664 0
-46.053375 46.452019 0
-46.071278 46.397369 0
-46.107010 46.288063 0
-46.124844 46.233410 0
-46.142651 46.178761 0
-46.160435 46.124107 0
-46.178196 46.069454 0
-46.195930 46.014801 0

File: raw/L1B_Catalogue/2018-07/17/H06/2018-07.17.H06.kmz
-46.002827 47.280201 0
-46.055691 47.381729 0
-46.082199 47.432472 0
-46.108753 47.483200 0
-46.135361 47.533920 0
-46.162014 47.584621 0
-46.242275 47.736649 0
-46.269127 47.787292 0
-46.296032 47.837925 0
-46.322987 47.888542 0
-46.009464 47.692337 0
-46.034584 47.744511 0
-46.059753 47.796677 0
-46.084976 47.848846 0
-46.110252 47.901009 0
-46.135582 47.953163 0

File: raw/L1B_Catalogue/2018-07/07/H18/2018-07.07.H18.kmz
-46.642727 47.951054 0
-46.660679 47.897652 0
-46.678604 47.844246 0
-46.696510 47.790829 0
-46.714394 47.737408 0
-46.732258 47.683979 0
-46.750099 47.630543 0
-46.767921 47.577095 0
-46.785717 47.523643 0
-46.803497 47.470181 0
-46.821255 47.416710 0
-46.838989 47.363232 0
-46.856705 47.309742 0
-46.874401 47.256248 0
-46.892075 47.202747 0
-46.909725 47.149235 0
-46.927357 47.095715 0
-46.944969 47.042191 0
-46.962559 46.988655 0
-46.980125 46.935112 0
-46.997677 46.881557 0
-47.015205 46.827995 0
-47.032711 46.774426 0
-47.050198 46.720848 0
-47.067665 46.667267 0
-47.085110 46.613674 0
-47.102539 46.560078 0
-47.119942 46.506470 0
-47.137329 46.452858 0
-47.154694 46.399242 0
-47.172043 46.345615 0
-47.189369 46.291981 0
-47.206680 46.238342 0
-47.223969 46.184700 0
-47.241234 46.131046 0
-47.258484 46.077389 0
-47.275711 46.023720 0

File: raw/L1B_Catalogue/2018-07/07/H06/2018-07.07.H06.kmz
-46.376087 46.011757 0
-46.399734 46.064201 0
-46.423424 46.116638 0
-46.447159 46.169067 0
-46.470940 46.221493 0
-46.494762 46.273911 0
-46.518631 46.326321 0
-46.542545 46.378727 0
-46.566502 46.431122 0
-46.590508 46.483513 0
-46.614552 46.535892 0
-46.638645 46.588268 0
-46.662781 46.640636 0
-46.686958 46.692997 0
-46.711185 46.745346 0
-46.735455 46.797691 0
-46.759769 46.850033 0
-46.784126 46.902363 0
-46.808533 46.954685 0
-46.832981 47.007004 0
-46.857475 47.059311 0
-46.882015 47.111610 0
-46.906601 47.163902 0
-46.931232 47.216187 0
-46.955914 47.268459 0
-46.980640 47.320728 0
-47.005417 47.372993 0
-47.030239 47.425247 0
-47.055107 47.477489 0
-47.080025 47.529728 0
-47.104988 47.581959 0
-47.130001 47.634178 0
-47.155064 47.686390 0
-47.180172 47.738594 0
-47.205330 47.790787 0
-47.230534 47.842976 0
-47.255791 47.895157 0
-47.281097 47.947330 0
-47.306454 47.999493 0
-47.260880 46.556137 0
-47.283291 46.607750 0
-47.441498 46.969074 0
-47.464291 47.020691 0
-47.487129 47.072311 0
-47.532955 47.175549 0
-47.648376 47.433666 0
-47.835663 47.846710 0
-47.859306 47.898342 0
-47.882999 47.949978 0

File: raw/L1B_Catalogue/2018-07/29/H06/2018-07.29.H06.kmz
-47.703823 46.045696 0
-47.722301 46.099682 0
-47.740807 46.153664 0
-47.759338 46.207634 0
-47.777889 46.261600 0
-47.796467 46.315559 0
-47.815071 46.369514 0
-47.833698 46.423458 0
-47.852348 46.477398 0
-47.871025 46.531334 0
-47.889725 46.585262 0
-47.908451 46.639183 0
-47.927200 46.693100 0
-47.945972 46.747005 0
-47.964771 46.800903 0
-47.983597 46.854797 0

File: raw/L1B_Catalogue/2016-04/03/H00/2016-04.03.H00.kmz
-47.911774 46.012493 0
-47.927242 46.067001 0
-47.942730 46.121506 0
-47.958229 46.176003 0
-47.973743 46.230495 0
-47.989273 46.284981 0
-46.099453 46.025234 0
-46.224583 46.463112 0
-46.256020 46.572601 0
-46.287521 46.682095 0
-46.303295 46.736843 0
-46.334885 46.846344 0
-46.557781 47.613041 0
-46.638168 47.886909 0
-46.654297 47.941685 0
-46.670441 47.996468 0

File: raw/L1B_Catalogue/2016-04/28/H00/2016-04.28.H00.kmz
-47.693920 46.017086 0
-47.713333 46.070534 0
-47.732773 46.123978 0
-47.752243 46.177414 0
-47.771740 46.230846 0
-47.791264 46.284275 0
-47.810818 46.337700 0
-47.830399 46.391121 0
-47.850010 46.444538 0
-47.869648 46.497948 0
-47.889317 46.551353 0
-47.909012 46.604752 0
-47.928738 46.658146 0
-47.948490 46.711536 0
-47.968277 46.764923 0
-47.988091 46.818302 0

File: raw/L1B_Catalogue/2016-09/18/H00/2016-09.18.H00.kmz
-47.449326 46.039474 0
-47.473213 46.090042 0
-47.497139 46.140594 0
-47.521111 46.191135 0
-47.545120 46.241661 0
-47.569168 46.292171 0
-47.593254 46.342667 0
-47.617382 46.393143 0
-47.641548 46.443607 0
-47.665756 46.494057 0
-47.690006 46.544487 0
-47.714294 46.594906 0
-47.738625 46.645309 0
-47.762997 46.695702 0
-47.787407 46.746075 0
-47.811863 46.796432 0
-47.836353 46.846779 0
-47.860889 46.897106 0
-47.885468 46.947418 0
-47.910084 46.997719 0
-47.934746 47.048000 0
-47.959446 47.098267 0
-47.984192 47.148518 0

File: raw/L1B_Catalogue/2016-09/18/H18/2016-09.18.H18.kmz
-47.946930 47.968994 0
-47.966118 47.914398 0
-47.985279 47.859802 0

File: raw/L1B_Catalogue/2015-11/11/H00/2015-11.11.H00.kmz
-46.011681 47.976635 0
-47.056961 46.002579 0
-47.076950 46.055988 0
-47.096973 46.109394 0
-47.117027 46.162800 0
-47.137112 46.216202 0
-47.157227 46.269600 0
-47.177376 46.322998 0
-47.197559 46.376392 0
-47.217773 46.429783 0
-47.238018 46.483170 0
-47.258297 46.536556 0
-47.278606 46.589935 0
-47.298950 46.643314 0
-47.319324 46.696690 0
-47.339729 46.750061 0
-47.360172 46.803432 0
-47.380646 46.856804 0
-47.401154 46.910172 0
-47.421692 46.963535 0
-47.442265 47.016895 0
-47.462872 47.070251 0
-47.483509 47.123608 0
-47.504181 47.176960 0
-47.524887 47.230309 0
-47.545628 47.283653 0
-47.566402 47.336994 0
-47.587212 47.390335 0
-47.608055 47.443668 0
-47.628933 47.497002 0
-47.649845 47.550331 0
-47.670792 47.603657 0
-47.691772 47.656979 0
-47.712788 47.710297 0
-47.733837 47.763607 0
-47.754925 47.816917 0
-47.776043 47.870224 0
-47.797199 47.923531 0
-47.818394 47.976833 0

File: raw/L1B_Catalogue/2015-11/27/H18/2015-11.27.H18.kmz
-47.009747 47.979939 0
-47.034771 47.928242 0
-47.059731 47.876545 0
-47.084629 47.824848 0
-47.109467 47.773151 0
-47.134247 47.721455 0
-47.158966 47.669758 0
-47.183628 47.618057 0
-47.208233 47.566357 0
-47.232784 47.514660 0
-47.257282 47.462959 0
-47.281727 47.411255 0
-47.306118 47.359554 0
-47.330460 47.307850 0
-47.354755 47.256142 0
-47.379002 47.204433 0
-47.403149 47.152729 0
-47.427261 47.101021 0
-47.451340 47.049309 0
-47.475380 46.997593 0
-47.499378 46.945877 0
-47.523331 46.894161 0
-47.547234 46.842445 0
-47.571079 46.790726 0
-47.594872 46.739010 0
-47.618603 46.687294 0
-47.642330 46.635567 0
-47.665985 46.583843 0
-47.689568 46.532124 0
-47.713085 46.480404 0
-47.736542 46.428688 0
-47.759941 46.376976 0
-47.783283 46.325264 0
-47.806576 46.273548 0
-47.829826 46.221836 0
-47.853035 46.170120 0
-47.876202 46.118401 0

File: raw/L1B_Catalogue/2015-07/22/H00/2015-07.22.H00.kmz
